two_theta,intensity,raw_intensity
17.5465,35.26716791979951,38.0
17.5469,35.960200182491214,38.0
17.5473,36.72197961300129,41.0
17.5477,37.5477763548197,34.0
17.5481,38.432860551436406,34.0
17.5485,39.372502346341356,45.0
17.5489,40.36197188302451,28.0
17.5493,41.39653930497583,41.0
17.5497,42.47147475568528,35.0
17.5501,43.5820483786428,44.0
17.5505,44.723530317338366,48.0
17.5509,45.89119071526192,45.0
17.5513,47.08029971590343,51.0
17.5517,48.28612746275285,56.0
17.5521,49.50394409930014,62.0
17.5525,50.72901976903525,43.0
17.5529,51.95662461544815,51.0
17.5533,53.18202878202914,46.0
17.5537,54.33043173043211,50.0
17.5541,56.13611793611833,62.0
17.5545,58.20224640224682,54.0
17.5549,58.56995436995478,61.0
17.5553,59.69842049842093,75.0
17.5557,60.98645138645182,58.0
17.5561,60.82421902421945,54.0
17.5565,61.529519129519585,68.0
17.5569,61.941382941383395,61.0
17.5573,62.68529308529355,55.0
17.5577,63.59101439101487,57.0
17.5581,64.55408915408967,56.0
17.5585,65.69505089505142,80.0
17.5589,66.37374517374569,73.0
17.5593,67.46142506142557,70.0
17.5597,67.81088101088152,61.0
17.5601,68.39859599859652,74.0
17.5605,68.51477711477763,75.0
17.5609,69.60456300456357,59.0
17.5613,70.44071604071658,52.0
17.5617,70.89371709371767,83.0
17.5621,71.34875394875452,64.0
17.5625,72.2045630045636,69.0
17.5629,72.39726219726276,85.0
17.5633,73.19803439803498,77.0
17.5637,73.01298701298761,76.0
17.5641,73.69034749034812,75.0
17.5645,73.37774657774719,74.0
17.5649,72.57830817830879,67.0
17.5653,72.07258687258746,65.0
17.5657,73.10361530361592,80.0
17.5661,73.28571428571487,79.0
17.5665,73.34215514215573,77.0
17.5669,73.25265005265064,77.0
17.5673,73.72277992278055,81.0
17.5677,73.82520182520241,57.0
17.5681,73.79887679887743,70.0
17.5685,72.72039312039374,68.0
17.5689,73.56363636363696,72.0
17.5693,73.07546507546567,78.0
17.5697,72.9805545805552,78.0
17.5701,73.71302211302272,55.0
17.5705,73.79297999298059,90.0
17.5709,74.52972972973036,63.0
17.5713,75.4512460512467,76.0
17.5717,76.22365742365803,88.0
17.5721,76.1896805896812,79.0
17.5725,75.97493857493919,66.0
17.5729,76.63341523341585,80.0
17.5733,77.81242541242604,82.0
17.5737,78.57388557388619,76.0
17.5741,79.98434538434607,75.0
17.5745,80.87363987364053,87.0
17.5749,80.77879957880022,74.0
17.5753,81.08501228501292,88.0
17.5757,80.48023868023932,74.0
17.5761,80.957318357319,87.0
17.5765,81.3519129519136,83.0
17.5769,82.33548613548676,82.0
17.5773,82.11856791856857,94.0
17.5777,83.26142506142571,81.0
17.5781,84.00063180063246,76.0
17.5785,84.97374517374587,78.0
17.5789,86.99620919620989,90.0
17.5793,88.01333801333871,93.0
17.5797,88.31323271323345,90.0
17.5801,88.76616356616427,79.0
17.5805,89.3813267813275,88.0
17.5809,90.25700245700318,73.0
17.5813,91.02744822744899,90.0
17.5817,92.16686556686633,89.0
17.5821,92.44204984205058,91.0
17.5825,93.39796419796494,113.0
17.5829,93.43257283257363,95.0
17.5833,94.33871533871614,106.0
17.5837,94.11133731133809,96.0
17.5841,93.7160407160415,100.0
17.5845,93.58462618462697,105.0
17.5849,92.80561600561678,88.0
17.5853,92.86233766233843,92.0
17.5857,92.27630747630826,78.0
17.5861,92.9425061425069,91.0
17.5865,93.74124254124332,92.0
17.5869,93.45749385749463,101.0
17.5873,94.06984906984987,101.0
17.5877,93.77170937171019,88.0
17.5881,92.63376623376702,85.0
17.5885,92.04921024921104,85.0
