two_theta,intensity,raw_intensity
20.02,83.92989229831332,86.0
20.06,84.42726848918795,83.0
20.1,84.95681464102512,77.0
20.14,85.51186464499153,85.0
20.18,86.0857523922539,77.0
20.22,86.6718117739789,98.0
20.26,87.26337668133328,91.0
20.3,87.85378100548374,97.0
20.34,88.43635863759698,88.0
20.38,89.00444346883971,101.0
20.42,89.55136939037864,99.0
20.46,90.07047029338047,77.0
20.5,90.55508006901192,90.0
20.54,90.9985326084397,83.0
20.58,91.39416180283051,72.0
20.62,91.73530154335106,90.0
20.66,92.01528572116806,99.0
20.7,92.227448227449,80.0
20.74,92.20224640224718,98.0
20.78,91.61256581256659,102.0
20.82,91.3036855036863,101.0
20.86,90.62134082134158,85.0
20.9,90.17943137943216,88.0
20.94,90.12951912951993,99.0
20.98,89.49575289575368,96.0
21.02,88.58890838890916,77.0
21.06,87.82435942436018,102.0
21.1,87.2586170586178,96.0
21.14,87.58946998947069,88.0
21.18,86.76047736047808,86.0
21.22,87.44752544752619,67.0
21.26,87.16686556686632,90.0
21.3,86.05005265005339,90.0
21.34,85.8584064584072,79.0
21.38,85.56616356616429,78.0
21.42,85.3794313794321,84.0
21.46,85.82611442611517,93.0
21.5,86.32046332046404,77.0
21.54,87.11554931555007,90.0
21.58,87.19571779571852,72.0
21.62,86.95177255177326,80.0
21.66,88.24956124956199,87.0
21.7,88.67027027027102,103.0
21.74,88.48283608283684,95.0
21.78,89.648508248509,109.0
21.82,90.03762723762797,93.0
21.86,91.02344682344756,100.0
21.9,91.46788346788416,76.0
21.94,91.82829062829137,89.0
21.98,92.50024570024645,95.0
22.02,92.95977535977612,90.0
22.06,93.59340119340195,105.0
22.1,94.2978588978597,85.0
22.14,94.40617760617839,87.0
22.18,94.83699543699625,93.0
22.22,93.84857844857922,89.0
22.26,94.13232713232794,91.0
22.3,93.56131976132056,103.0
22.34,92.68725868725947,80.0
22.38,92.68831168831248,100.0
22.42,92.20182520182595,97.0
22.46,92.5341523341531,92.0
22.5,93.96504036504112,110.0
22.54,94.1229203229211,92.0
22.58,94.88452088452165,104.0
22.62,94.39354159354238,84.0
22.66,94.7222885222893,96.0
22.7,95.597964197965,103.0
22.74,95.84268164268244,87.0
22.78,96.83460863460942,78.0
22.82,97.78961038961118,93.0
22.86,97.83552123552201,94.0
22.9,98.51702351702433,112.0
22.94,99.31498771498849,96.0
22.98,99.93436293436375,95.0
23.02,101.46023166023245,107.0
23.06,101.42520182520265,92.0
23.1,101.71891891891973,123.0
23.14,101.34559494559575,102.0
23.18,101.76328536328613,93.0
23.22,103.67272727272807,110.0
23.26,104.91919971920052,107.0
23.3,107.15015795015876,114.0
23.34,107.53492453492537,108.0
23.38,108.32306072306153,102.0
23.42,109.44787644787729,113.0
23.46,111.6364338364347,115.0
23.5,112.36272376272463,97.0
23.54,112.98167778167867,119.0
23.58,113.0098982098991,112.0
23.62,114.53429273429363,105.0
23.66,114.73822393822482,110.0
23.7,115.06444366444455,101.0
23.74,116.28824148824238,113.0
23.78,116.98750438750525,127.0
23.82,119.71751491751581,148.0
23.86,120.99171639171735,132.0
23.9,121.70614250614348,120.0
23.94,123.11730431730527,120.0
23.98,124.88760968761066,109.0
24.02,125.28838188838282,132.0
24.06,126.30494910495003,137.0
24.1,128.0266058266068,142.0
24.14,130.79831519831617,100.0
24.18,132.36433836433937,116.0
24.22,133.15177255177352,129.0
24.26,135.61003861003965,145.0
24.3,137.5846963846974,132.0
24.34,138.5045279045289,151.0
24.38,139.80379080379186,151.0
24.42,140.0562302562313,146.0
24.46,141.3212355212366,145.0
24.5,143.93043173043282,130.0
24.54,147.50466830466934,145.0
24.58,149.41488241488346,149.0
24.62,152.19396279396383,151.0
24.66,155.62913302913415,141.0
24.7,158.26830466830583,186.0
24.74,160.89168129168243,176.0
24.78,164.79466479466595,157.0
24.82,168.55998595998707,142.0
24.86,170.96061776061893,174.0
24.9,172.7194103194115,178.0
24.94,176.6211302211314,163.0
24.98,180.92888732888864,169.0
25.02,184.66416286416415,189.0
25.06,189.78897858897994,189.0
25.1,193.81839241839378,209.0
25.14,197.85293085293222,203.0
25.18,202.20133380133527,191.0
25.22,205.5478413478428,198.0
25.26,209.89631449631605,235.0
25.3,212.77725517725682,214.0
25.34,216.58939978940137,202.0
25.38,218.972411372413,209.0
25.42,222.89090909091078,237.0
25.46,226.384696384698,221.0
25.5,227.91639171639338,238.0
25.54,230.32221832221995,231.0
25.58,231.79894699894868,263.0
25.62,234.0090558090575,229.0
25.66,235.90852930853103,237.0
25.7,237.22323622323796,239.0
25.74,240.27265707265886,225.0
25.78,241.98237978238157,253.0
25.82,248.10473850474028,252.0
25.86,252.78511758511954,244.0
25.9,257.96405756405943,248.0
25.94,262.90817830818037,232.0
25.98,269.0527202527223,266.0
26.02,273.5936819936842,243.0
26.06,278.4061074061097,259.0
26.1,280.83173043173286,268.0
26.14,285.56384696384947,273.0
26.18,288.5284661284687,304.0
26.22,291.2265356265383,265.0
26.26,291.79740259740527,317.0
26.3,292.85131625131885,312.0
26.34,290.74503334503606,307.0
26.38,288.1259389259416,328.0
26.42,284.71688311688587,311.0
26.46,279.60919620919884,349.0
26.5,274.1740259740286,268.0
26.54,268.1579501579527,289.0
26.58,260.9245349245375,253.0
26.62,252.82667602667848,245.0
26.66,242.5342225342251,237.0
26.7,232.41832221832473,237.0
26.74,220.29133029133268,191.0
26.78,207.78715338715568,223.0
26.82,195.5083889083911,169.0
26.86,183.57669357669565,159.0
26.9,172.27314847315046,145.0
26.94,159.37255177255378,152.0
26.98,150.0911196911216,142.0
27.02,139.63776763776943,152.0
27.06,130.97037557037729,140.0
27.1,124.39627939628102,128.0
27.14,118.1680589680605,118.0
27.18,114.76061776061921,121.0
27.22,109.56412776412914,105.0
27.26,106.17915057915191,94.0
27.3,101.51456651456775,86.0
27.34,98.46598806598927,89.0
27.38,95.70473850473965,93.0
27.42,93.90361530361635,96.0
27.46,90.84717444717548,103.0
27.5,89.93864513864611,95.0
27.54,87.68873288873382,82.0
27.58,85.7094419094428,97.0
27.62,83.75640575640666,98.0
27.66,82.14734994735079,70.0
27.7,80.64422604422688,108.0
27.74,80.31302211302298,81.0
27.78,79.71379431379512,74.0
27.82,78.28409968410044,73.0
27.86,77.1566865566873,77.0
27.9,77.20358020358094,66.0
27.94,76.97851877851953,67.0
27.98,75.80694980695053,87.0
28.02,74.3695331695339,64.0
28.06,72.86247806247879,70.0
28.1,71.6057564057571,71.0
28.14,69.88683748683817,74.0
28.18,69.34229554229621,77.0
28.22,68.45286065286132,74.0
28.26,66.86430326430393,69.0
28.3,65.65321165321227,62.0
28.34,65.35591435591498,69.0
28.38,63.717655317655925,66.0
28.42,64.0260442260448,58.0
28.46,63.65903825903885,62.0
28.5,62.70845910845968,80.0
28.54,62.464303264303844,73.0
28.58,62.26479466479523,55.0
28.62,61.49870129870187,47.0
28.66,60.90466830466887,57.0
28.7,60.74355914355969,53.0
28.74,59.999438399438965,55.0
28.78,59.5478413478419,52.0
28.82,58.97332397332455,68.0
28.86,58.587434187434724,52.0
28.9,58.210600210600745,55.0
28.94,58.06956826956879,60.0
28.98,57.23271323271376,71.0
29.02,56.38469638469691,58.0
29.06,56.158932958933484,64.0
29.1,55.90150930150981,62.0
29.14,55.253632853633356,57.0
29.18,54.837627237627736,66.0
29.22,55.45222885222934,49.0
29.26,55.87490347490396,51.0
29.3,55.54510354510402,52.0
29.34,54.148473148473634,46.0
29.38,53.32825552825598,57.0
29.42,52.415584415584874,49.0
29.46,51.94903474903521,46.0
29.5,51.53611793611839,49.0
29.54,51.637486837487295,48.0
