two_theta,intensity,raw_intensity
20.02,86.67142857142849,86.0
20.06,80.3142857142857,83.0
20.1,81.02857142857148,77.0
20.14,78.57142857142861,85.0
20.18,85.74285714285719,77.0
20.22,89.60000000000005,98.0
20.26,96.91428571428577,91.0
20.3,91.42857142857147,97.0
20.34,94.34285714285718,88.0
20.38,98.25714285714291,101.0
20.42,93.85714285714292,99.0
20.46,86.42857142857147,77.0
20.5,83.91428571428577,90.0
20.54,81.5428571428572,83.0
20.58,78.08571428571433,72.0
20.62,88.37142857142862,90.0
20.66,91.80000000000005,99.0
20.7,89.94285714285719,80.0
20.74,92.85714285714292,98.0
20.78,103.62857142857148,102.0
20.82,97.22857142857148,101.0
20.86,88.8571428571429,85.0
20.9,88.94285714285719,88.0
20.94,97.28571428571433,99.0
20.98,90.68571428571434,96.0
21.02,88.57142857142863,77.0
21.06,93.08571428571435,102.0
21.1,97.80000000000007,96.0
21.14,90.6571428571429,88.0
21.18,78.97142857142862,86.0
21.22,77.62857142857148,67.0
21.26,83.40000000000005,90.0
21.3,89.22857142857148,90.0
21.34,81.0571428571429,79.0
21.38,78.08571428571435,78.0
21.42,86.0571428571429,84.0
21.46,85.97142857142862,93.0
21.5,86.77142857142863,77.0
21.54,79.97142857142862,90.0
21.58,79.20000000000005,72.0
21.62,76.82857142857148,80.0
21.66,90.68571428571434,87.0
21.7,96.22857142857148,103.0
21.74,103.40000000000006,95.0
21.78,100.00000000000006,109.0
21.82,102.17142857142862,93.0
21.86,89.5428571428572,100.0
21.9,85.60000000000005,76.0
21.94,85.57142857142861,89.0
21.98,92.00000000000006,95.0
22.02,97.37142857142864,90.0
22.06,95.40000000000005,105.0
22.1,91.42857142857149,85.0
22.14,86.65714285714292,87.0
22.18,90.42857142857147,93.0
22.22,90.02857142857148,89.0
22.26,95.20000000000006,91.0
22.3,92.45714285714291,103.0
22.34,92.3428571428572,80.0
22.38,92.5428571428572,100.0
22.42,96.65714285714292,97.0
22.46,99.20000000000005,92.0
22.5,99.28571428571433,110.0
22.54,102.97142857142863,92.0
22.58,93.20000000000006,104.0
22.62,92.65714285714292,84.0
22.66,94.37142857142862,96.0
22.7,98.88571428571434,103.0
22.74,88.11428571428577,87.0
22.78,82.71428571428577,78.0
22.82,87.08571428571435,93.0
22.86,101.02857142857148,94.0
22.9,103.4285714285715,112.0
22.94,100.37142857142862,96.0
22.98,98.25714285714292,95.0
23.02,97.31428571428577,107.0
23.06,106.6571428571429,92.0
23.1,109.11428571428577,123.0
23.14,106.28571428571435,102.0
