two_theta,intensity,raw_intensity
10.02,328.3571428571429,326.0
10.06,331.57142857142867,341.0
10.1,316.14285714285734,302.0
10.14,307.8000000000002,312.0
10.18,299.2285714285716,309.0
10.22,301.94285714285735,280.0
10.26,301.7428571428573,326.0
10.3,311.11428571428587,292.0
10.34,289.20000000000016,306.0
10.38,289.97142857142876,273.0
10.42,274.8000000000002,294.0
10.46,300.5428571428573,272.0
10.5,299.88571428571447,334.0
10.54,295.0857142857144,274.0
10.58,286.657142857143,284.0
10.62,293.0285714285716,310.0
10.66,276.4285714285716,267.0
10.7,278.8000000000002,268.0
10.74,295.9428571428573,316.0
10.78,302.657142857143,288.0
10.82,284.8000000000002,295.0
10.86,287.0285714285716,277.0
10.9,284.3428571428573,293.0
10.94,292.88571428571447,285.0
10.98,288.7142857142859,296.0
11.02,282.40000000000015,277.0
11.06,251.8285714285716,264.0
11.1,252.80000000000015,230.0
11.14,273.97142857142876,290.0
11.18,293.6857142857144,293.0
11.22,277.2285714285716,275.0
11.26,264.00000000000017,264.0
11.3,265.6857142857144,262.0
11.34,260.9714285714287,271.0
11.38,264.5714285714287,250.0
11.42,260.34285714285727,275.0
11.46,259.97142857142876,252.0
11.5,261.51428571428585,258.0
11.54,264.9142857142859,277.0
11.58,264.34285714285727,252.0
11.62,257.657142857143,267.0
11.66,272.457142857143,262.0
11.7,276.5714285714287,286.0
11.74,263.7714285714287,266.0
11.78,252.5428571428573,239.0
11.82,255.31428571428586,268.0
11.86,265.6285714285716,258.0
11.9,255.7428571428573,262.0
11.94,248.28571428571442,244.0
11.98,239.02857142857158,241.0
12.02,245.22857142857157,240.0
12.06,238.057142857143,251.0
12.1,241.25714285714298,223.0
12.14,241.94285714285726,256.0
12.18,236.31428571428586,237.0
12.22,230.3714285714287,217.0
12.26,244.457142857143,255.0
12.3,255.11428571428587,254.0
12.34,240.1714285714287,240.0
12.38,225.48571428571444,226.0
12.42,229.0857142857144,223.0
12.46,241.65714285714301,248.0
12.5,247.68571428571443,247.0
12.54,241.457142857143,240.0
12.58,238.74285714285728,239.0
12.62,239.51428571428585,239.0
12.66,236.37142857142868,238.0
12.7,228.42857142857156,228.0
12.74,221.71428571428584,220.0
12.78,216.31428571428583,220.0
12.82,221.9714285714287,214.0
12.86,218.82857142857154,231.0
12.9,218.057142857143,207.0
12.94,217.0857142857144,220.0
12.98,208.54285714285726,219.0
13.02,205.77142857142871,187.0
13.06,216.14285714285725,229.0
13.1,234.51428571428582,231.0
13.14,228.4857142857144,229.0
13.18,216.11428571428584,218.0
13.22,201.4857142857144,199.0
13.26,195.0000000000001,195.0
13.3,198.45714285714297,200.0
13.34,213.40000000000015,208.0
13.38,221.4857142857144,231.0
13.42,227.0000000000001,218.0
13.46,222.657142857143,229.0
13.5,222.08571428571443,219.0
13.54,216.40000000000015,217.0
13.58,217.5428571428573,216.0
13.62,211.3714285714287,216.0
13.66,203.62857142857155,199.0
13.7,200.74285714285725,201.0
13.74,198.0000000000001,204.0
