two_theta,intensity,raw_intensity
10.02,204.0137912348438,198.0
10.06,203.6425371855712,213.0
10.1,203.2238922932421,201.0
10.14,202.7576194786721,205.0
10.18,202.2434816626767,226.0
10.22,201.68124176607148,223.0
10.26,201.070662709672,173.0
10.3,200.4115074142938,185.0
10.34,199.70353880075243,176.0
10.38,198.94651978986346,200.0
10.42,198.14021330244242,194.0
10.46,197.2843822593049,185.0
10.5,196.3787895812664,180.0
10.54,195.4231981891425,195.0
10.58,194.41737100374877,224.0
10.62,193.3610709459007,192.0
10.66,192.25406093641394,207.0
10.7,191.09610389610557,198.0
10.74,189.8967356967374,208.0
10.78,187.4822042822059,193.0
10.82,186.30705510705678,207.0
10.86,185.0673218673235,192.0
10.9,184.50593190593352,169.0
10.94,184.11456651456808,177.0
10.98,181.64240084240237,183.0
11.02,180.70361530361686,173.0
11.06,178.2606528606544,161.0
11.1,177.1926991927008,171.0
11.14,175.7367497367513,154.0
11.18,173.432432432434,164.0
11.22,171.50951210951368,176.0
11.26,170.34110214110365,196.0
11.3,170.276307476309,169.0
11.34,169.23671463671613,166.0
11.38,168.3719199719215,163.0
11.42,168.22639522639673,153.0
11.46,167.66156546156694,198.0
11.5,167.83650403650552,161.0
11.54,167.81923481923624,165.0
11.58,167.9781677781692,175.0
11.62,167.29743769743914,178.0
11.66,166.8309582309597,180.0
11.7,167.89469989470132,151.0
11.74,167.54615654615802,171.0
11.78,166.5736047736062,161.0
11.82,166.89273429273575,164.0
11.86,165.01123201123346,175.0
11.9,164.144752544754,159.0
11.94,164.08466128466276,153.0
11.98,163.5879957879973,160.0
12.02,162.67539487539628,155.0
12.06,161.7290979290994,170.0
12.1,160.94538434538575,149.0
12.14,158.64843804843946,175.0
12.18,158.87904527904666,149.0
12.22,157.82962442962582,174.0
12.26,156.76883116883252,164.0
12.3,156.45854685854826,163.0
12.34,157.01895401895544,167.0
12.38,156.84373464373607,137.0
12.42,155.66016146016287,158.0
12.46,156.1677079677094,159.0
12.5,154.0831168831182,134.0
12.54,153.90881010881148,163.0
12.58,153.7468585468599,145.0
12.62,153.24352404352544,133.0
12.66,151.81909441909582,166.0
12.7,150.93050193050325,154.0
12.74,148.83580203580334,151.0
12.78,147.884801684803,141.0
12.82,146.17395577395706,163.0
12.86,146.14475254475383,153.0
12.9,144.45187785187915,149.0
12.94,144.22913302913435,152.0
12.98,142.8311688311701,145.0
13.02,142.01053001053126,127.0
13.06,142.24226044226168,147.0
13.1,140.89399789399914,141.0
13.14,140.2835380835393,116.0
13.18,139.79143559143682,166.0
13.22,137.93674973675095,125.0
13.26,137.88353808353932,134.0
13.3,136.4067392067405,124.0
13.34,134.14749034749155,135.0
13.38,134.1665145665158,126.0
13.42,132.95661635661753,148.0
13.46,132.18624078624197,139.0
13.5,130.29427869427985,136.0
13.54,130.00694980695093,122.0
13.58,130.25868725868838,134.0
13.62,129.91561951562065,125.0
13.66,129.99220779220894,147.0
13.7,129.75444015444128,138.0
13.74,129.22688662688776,120.0
13.78,129.3673569673581,124.0
13.82,128.89771849771958,125.0
13.86,126.91168831168939,124.0
13.9,127.4878904878916,129.0
13.94,127.47237627237732,114.0
13.98,127.4030186030197,129.0
14.02,126.2237276237287,134.0
14.06,126.63804843804951,114.0
14.1,126.22779922780032,134.0
14.14,126.80849420849529,124.0
14.18,126.98911898912002,143.0
14.22,127.7533871533883,134.0
14.26,127.5634959634971,116.0
14.3,127.74376974377084,128.0
14.34,127.20638820638929,125.0
14.38,127.716110916112,129.0
14.42,128.17704457704568,117.0
14.46,128.10845910846018,120.0
14.5,128.10782730782844,131.0
14.54,128.20835380835493,143.0
14.58,127.5960687960699,140.0
14.62,126.78055458055566,117.0
