two_theta,intensity,raw_intensity
10.02,76.77622434464534,75.0
10.06,74.47429703033413,85.0
10.1,72.46795511687148,76.0
10.14,70.74031305138114,70.0
10.18,69.2744852809868,63.0
10.22,68.05358625281224,59.0
10.26,67.06073041398118,74.0
10.3,66.27903221161733,54.0
10.34,65.69160609284447,64.0
10.38,65.28156650478631,61.0
10.42,65.0320278945666,62.0
10.46,64.92610470930904,75.0
10.5,64.94691139613741,71.0
10.54,65.0775624021754,64.0
10.58,65.30117217454679,67.0
10.62,65.60085516037529,62.0
10.66,65.95972580678463,71.0
10.7,66.36089856089914,71.0
10.74,66.83201123201181,66.0
10.78,67.81719901719961,59.0
10.82,68.027167427168,77.0
10.86,68.3189189189195,66.0
10.9,68.31526851526911,64.0
10.94,68.2890838890845,78.0
10.98,68.52678132678192,81.0
11.02,67.32032292032349,68.0
11.06,67.2101088101094,61.0
11.1,66.65665145665204,55.0
11.14,65.69448929448987,75.0
11.18,65.635591435592,67.0
11.22,65.88016848016905,56.0
11.26,65.6354510354516,76.0
11.3,65.16258336258392,56.0
11.34,64.49701649701704,65.0
11.38,64.6339768339774,74.0
11.42,64.6065286065292,58.0
11.46,64.2226746226752,57.0
11.5,63.85257985258041,69.0
11.54,63.60751140751195,63.0
11.58,63.47686907686961,62.0
11.62,63.006528606529145,55.0
11.66,64.03250263250318,62.0
11.7,64.42730782730837,76.0
11.74,64.47139347139402,59.0
11.78,64.51196911196968,64.0
11.82,63.42632502632555,74.0
11.86,63.8751842751848,68.0
11.9,64.42007722007776,58.0
11.94,64.00617760617813,61.0
11.98,64.69863109863162,69.0
12.02,64.12376272376326,69.0
12.06,64.03432783432837,59.0
12.1,64.74538434538489,63.0
12.14,64.23790803790855,67.0
12.18,64.70635310635365,58.0
12.22,65.3616005616011,74.0
12.26,65.82632502632559,63.0
12.3,65.72130572130625,69.0
12.34,65.42435942435998,48.0
12.38,65.29891189891246,68.0
12.42,65.67469287469343,67.0
12.46,65.32130572130627,60.0
12.5,65.61291681291736,80.0
12.54,66.31695331695387,67.0
12.58,66.51632151632207,58.0
12.62,66.73015093015148,68.0
12.66,66.73808353808411,63.0
12.7,66.98476658476717,74.0
12.74,67.30277290277347,73.0
12.78,66.81038961039017,66.0
12.82,66.79845559845617,81.0
12.86,66.28241488241545,56.0
12.9,65.60280800280856,61.0
12.94,65.6399438399444,58.0
12.98,65.30937170937224,69.0
13.02,65.19810459810513,65.0
13.06,65.00737100737157,66.0
13.1,64.93218673218729,70.0
13.14,65.04794664794721,72.0
13.18,64.38511758511815,61.0
13.22,64.71442611442667,61.0
13.26,65.0568620568626,68.0
13.3,64.16138996139051,56.0
13.34,64.37388557388614,60.0
13.38,63.99712179712234,61.0
13.42,64.04008424008478,59.0
13.46,64.27069147069203,67.0
13.5,64.3594945594951,58.0
13.54,65.0592488592494,74.0
13.58,65.19305019305074,70.0
13.62,64.94454194454248,71.0
13.66,64.63966303966357,71.0
13.7,65.08550368550421,74.0
13.74,65.29933309933364,52.0
13.78,64.30635310635365,65.0
13.82,64.83811863811918,59.0
13.86,65.19129519129571,69.0
13.9,65.45917865917917,68.0
13.94,65.55893295893347,56.0
13.98,65.88480168480218,75.0
14.02,66.30249210249262,59.0
14.06,66.9503685503691,67.0
14.1,67.49013689013745,70.0
14.14,68.08992628992685,68.0
14.18,67.83397683397737,66.0
14.22,68.27462267462325,70.0
14.26,69.40828360828418,59.0
14.3,69.9349245349251,71.0
14.34,70.98975078975138,69.0
14.38,71.87778167778228,62.0
14.42,72.7045279045285,63.0
14.46,72.36560196560256,96.0
14.5,72.49189189189251,70.0
14.54,71.6245700245706,80.0
14.58,71.67160407160466,74.0
14.62,71.60477360477421,79.0
14.66,71.08480168480229,84.0
14.7,71.75275535275591,71.0
14.74,71.25763425763486,67.0
14.78,71.06956826956886,68.0
14.82,71.21979641979702,61.0
14.86,70.95514215514275,89.0
14.9,70.89828009828068,64.0
14.94,70.86058266058326,61.0
14.98,70.48150228150286,71.0
15.02,70.54426114426174,59.0
15.06,70.0133380133386,61.0
15.1,69.12776412776473,65.0
15.14,68.46633906633967,68.0
15.18,69.36398736398793,67.0
15.22,69.47602667602726,84.0
15.26,69.83776763776824,74.0
15.3,69.85686205686262,77.0
15.34,70.66149526149583,75.0
15.38,71.45173745173801,65.0
15.42,72.44949104949167,75.0
15.46,73.01432081432142,75.0
15.5,73.47378027378086,70.0
15.54,73.54931554931615,78.0
15.58,74.95598455598514,71.0
15.62,75.26935766935826,74.0
15.66,75.03348543348602,69.0
15.7,75.47378027378086,68.0
15.74,76.38244998245062,80.0
15.78,76.35128115128178,82.0
15.82,76.52748332748395,77.0
15.86,77.00294840294906,77.0
15.9,76.70410670410737,73.0
15.94,77.22513162513229,79.0
15.98,76.91400491400555,85.0
16.02,77.25124605124668,75.0
16.06,77.57788697788759,85.0
16.1,77.61649701649766,70.0
16.14,77.91210951211015,75.0
16.18,78.75542295542357,78.0
16.22,78.73113373113439,79.0
16.26,78.71891891891956,78.0
16.3,77.91877851877918,81.0
16.34,78.50333450333514,91.0
16.38,78.29610389610453,87.0
16.42,78.13190593190654,61.0
16.46,79.30354510354574,79.0
16.5,80.28732888732955,75.0
16.54,81.03952263952331,67.0
16.58,80.79775359775428,81.0
16.62,80.52411372411439,80.0
16.66,80.5618111618118,93.0
16.7,81.20800280800349,84.0
16.74,81.27413127413195,84.0
16.78,82.3505089505096,80.0
16.82,83.14243594243662,83.0
16.86,83.16637416637487,69.0
16.9,83.47062127062195,82.0
16.94,83.28087048087113,91.0
16.98,83.49217269217334,107.0
17.02,83.93015093015163,80.0
17.06,85.07637767637834,93.0
17.1,86.61965601965672,91.0
17.14,86.5137241137248,70.0
17.18,87.0068094068101,74.0
17.22,87.35816075816145,72.0
17.26,86.70186030186103,95.0
17.3,87.10607230607299,94.0
17.34,87.45861705861778,95.0
17.38,88.69512109512182,90.0
17.42,89.29554229554302,96.0
17.46,89.56721656721727,84.0
17.5,89.64921024921094,73.0
17.54,90.9838539838547,93.0
17.58,91.2680940680948,90.0
17.62,91.31821691821764,105.0
17.66,92.21832221832297,98.0
17.7,94.13836433836507,98.0
17.74,95.42267462267537,95.0
17.78,97.5396279396287,84.0
17.82,98.68753948754025,94.0
17.86,98.55514215514292,96.0
17.9,98.94587574587653,95.0
17.94,99.83390663390743,110.0
17.98,100.94552474552559,100.0
18.02,102.16167076167159,101.0
18.06,102.99578799578882,95.0
18.1,103.60926640926722,103.0
18.14,104.18385398385483,114.0
18.18,103.99796419796502,119.0
18.22,103.32832572832652,94.0
18.26,103.13352053352132,101.0
18.3,104.04499824499905,119.0
18.34,105.57507897507982,112.0
18.38,106.75135135135217,110.0
18.42,107.89104949105032,100.0
18.46,109.00140400140486,91.0
18.5,109.31140751140835,112.0
18.54,109.95114075114161,122.0
18.58,110.78532818532908,112.0
18.62,110.66956826956913,92.0
18.66,112.8134082134091,105.0
18.7,113.75921375921463,101.0
18.74,115.22744822744916,111.0
18.78,115.15795015795106,112.0
18.82,115.82344682344772,121.0
18.86,117.73036153036246,130.0
18.9,119.79971919972014,131.0
18.94,119.85580905581,143.0
18.98,120.1580905580915,117.0
19.02,122.41347841347934,118.0
19.06,123.76742716742811,121.0
19.1,125.06563706563801,123.0
19.14,126.06598806598905,121.0
19.18,126.54713934714037,127.0
19.22,127.15780975781074,128.0
19.26,129.04394524394624,125.0
19.3,130.52088452088557,148.0
19.34,130.37978237978342,112.0
19.38,129.4609336609347,129.0
19.42,129.41972621972727,116.0
19.46,130.06205686205791,145.0
19.5,130.26781326781438,138.0
19.54,131.04689364689472,121.0
19.58,131.72734292734398,123.0
19.62,132.88080028080137,146.0
19.66,134.83657423657527,149.0
19.7,136.18104598104708,123.0
19.74,136.30354510354616,138.0
19.78,137.60947700947807,139.0
19.82,139.82049842049952,135.0
19.86,140.98420498420612,133.0
19.9,141.2449280449292,149.0
19.94,142.73338013338127,131.0
19.98,143.10670410670528,129.0
20.02,144.63243243243355,142.0
20.06,144.31112671112786,173.0
20.1,145.92600912601029,150.0
20.14,146.67588627588748,141.0
20.18,148.05658125658246,150.0
20.22,149.1930501930514,145.0
20.26,149.35436995437118,159.0
20.3,149.85587925588047,154.0
20.34,150.90895050895176,153.0
20.38,152.27771147771267,143.0
20.42,152.7310635310648,173.0
20.46,153.986591786593,150.0
20.5,154.97528957529084,126.0
20.54,154.52741312741435,142.0
20.58,154.4998244998258,169.0
20.62,155.1510705510718,142.0
20.66,154.88613548613677,164.0
20.7,155.07083187083313,165.0
20.74,154.8950508950522,176.0
20.78,156.42021762021886,146.0
20.82,157.68515268515392,147.0
20.86,158.21705861705996,159.0
20.9,158.35851175851303,160.0
20.94,159.54545454545587,165.0
20.98,160.78785538785672,155.0
21.02,161.6537030537044,164.0
21.06,161.68080028080158,163.0
21.1,162.3437697437711,157.0
21.14,163.2014742014755,148.0
21.18,163.4071604071617,151.0
21.22,163.17634257634396,180.0
21.26,162.86690066690198,169.0
21.3,164.48065988066125,170.0
21.34,163.96728676728813,174.0
21.38,163.60014040014175,157.0
21.42,164.0361530361544,175.0
21.46,166.1893295893309,171.0
21.5,166.8275184275198,157.0
21.54,166.57149877150016,162.0
21.58,166.64675324675466,180.0
21.62,167.1370305370319,149.0
21.66,167.77465777465918,158.0
21.7,167.23187083187221,161.0
21.74,168.17269217269353,181.0
21.78,169.02555282555426,155.0
21.82,169.22997542997683,182.0
21.86,168.9813267813282,180.0
21.9,169.28459108459248,162.0
21.94,169.6994032994047,173.0
21.98,169.51554931555071,153.0
22.02,170.33113373113514,173.0
22.06,171.78252018252158,194.0
22.1,172.0588978588993,183.0
22.14,173.8864864864879,157.0
22.18,174.19087399087545,159.0
22.22,173.8848016848031,176.0
22.26,174.63580203580352,180.0
22.3,175.8817830817845,172.0
22.34,175.57564057564198,174.0
22.38,176.30094770094917,194.0
22.42,175.85910845910993,170.0
22.46,177.1590031590046,170.0
22.5,176.84436644436795,178.0
22.54,177.47286767286917,177.0
22.58,178.12558792558943,161.0
22.62,177.6749736749752,187.0
22.66,178.730010530012,197.0
22.7,176.98954018954174,179.0
22.74,176.52958932959086,169.0
22.78,177.49849069849222,178.0
22.82,176.96883116883268,157.0
22.86,175.77711477711628,189.0
22.9,174.7485433485448,192.0
22.94,174.49027729027878,171.0
22.98,174.4512460512475,177.0
23.02,174.25826605826757,181.0
23.06,173.96953316953469,159.0
23.1,173.98883818883968,184.0
23.14,172.76181116181266,162.0
23.18,172.13197613197755,169.0
23.22,171.9151281151296,171.0
23.26,172.07055107055254,169.0
23.3,170.04647244647396,175.0
23.34,169.40351000351143,145.0
23.38,170.90852930853083,184.0
23.42,171.00365040365187,172.0
23.46,170.68746928747078,160.0
23.5,169.56904176904322,188.0
23.54,168.52748332748476,179.0
23.58,168.61474201474343,173.0
23.62,169.183011583013,169.0
23.66,169.37950157950294,167.0
23.7,170.0590382590397,160.0
23.74,170.4662688662703,160.0
23.78,170.5203229203244,174.0
23.82,171.08536328536474,183.0
23.86,170.0090558090572,169.0
23.9,170.23439803439945,166.0
23.94,171.03383643383788,154.0
23.98,171.5919269919285,187.0
24.02,171.7211653211668,185.0
24.06,170.5997893997909,149.0
24.1,171.78343278343428,164.0
24.14,171.5602667602682,162.0
24.18,171.01319761319908,192.0
24.22,171.71632151632295,171.0
24.26,171.52558792558946,178.0
24.3,170.67771147771296,177.0
24.34,169.52095472095618,168.0
24.38,168.98982098982236,162.0
24.42,167.9177957177972,174.0
24.46,167.08164268164415,159.0
24.5,166.6473148473163,171.0
24.54,166.6041418041433,191.0
24.58,166.3564057564072,169.0
24.62,165.6028080028094,155.0
24.66,163.40659880660021,154.0
24.7,164.01972621972763,168.0
24.74,164.06310986311132,163.0
24.78,162.47125307125455,142.0
24.82,160.58680238680378,160.0
24.86,158.1083187083201,151.0
24.9,157.99670059670206,146.0
24.94,156.31168831168975,158.0
24.98,154.94805194805332,169.0
25.02,154.53022113022246,175.0
25.06,153.94159354159487,159.0
25.1,153.01151281151414,162.0
25.14,153.0694278694292,152.0
25.18,151.11470691470822,153.0
25.22,151.23545103545237,153.0
25.26,151.99571779571914,142.0
25.3,153.38736398736535,146.0
25.34,151.88037908038038,164.0
25.38,151.55085995086128,129.0
25.42,152.1733941733955,139.0
25.46,153.70017550017687,136.0
25.5,152.37374517374653,152.0
25.54,151.6902772902786,164.0
25.58,150.55458055458192,142.0
25.62,148.69266409266538,162.0
25.66,148.22737802737933,168.0
25.7,147.7749385749399,151.0
25.74,148.29778869779005,148.0
25.78,147.89764829764962,150.0
25.82,147.1421551421564,139.0
25.86,145.62934362934487,174.0
25.9,145.28929448929577,141.0
25.94,144.75015795015918,151.0
25.98,143.36644436644562,116.0
26.02,141.86318006318126,169.0
26.06,141.3467883467896,142.0
26.1,140.26163566163692,132.0
26.14,138.46507546507672,100.0
26.18,136.93099333099457,137.0
26.22,135.7538785538798,137.0
26.26,134.79073359073485,137.0
26.3,132.9534573534586,147.0
26.34,131.62169182169308,124.0
26.38,131.10881010881135,134.0
26.42,130.02414882415,119.0
26.46,128.96658476658598,124.0
26.5,127.22660582660698,136.0
26.54,125.51519831519947,147.0
26.58,125.01095121095234,121.0
26.62,123.90873990874104,123.0
26.66,123.68627588627699,129.0
26.7,121.871533871535,134.0
26.74,122.15184275184384,131.0
26.78,121.37156897157006,105.0
26.82,120.40470340470448,123.0
26.86,117.45440505440614,107.0
26.9,115.83987363987467,108.0
26.94,115.6432432432443,114.0
26.98,115.36482976483082,111.0
27.02,114.60168480168586,119.0
27.06,113.28683748683851,110.0
27.1,112.82309582309682,108.0
27.14,112.28037908038006,103.0
27.18,111.96321516321619,122.0
27.22,111.67616707616811,112.0
27.26,111.65735345735446,125.0
27.3,110.54271674271772,113.0
27.34,110.4544050544061,104.0
27.38,110.0989820989831,103.0
27.42,109.5115479115489,108.0
27.46,109.74594594594691,112.0
27.5,109.00329940330037,108.0
27.54,108.78961038961137,119.0
27.58,108.00393120393218,125.0
27.62,106.38946998947094,94.0
27.66,105.13345033345126,94.0
27.7,104.82457002457099,119.0
27.74,104.40147420147514,114.0
27.78,102.71583011583103,106.0
27.82,101.82148122148213,91.0
27.86,100.2675324675334,85.0
27.9,99.93927693927789,94.0
27.94,99.05215865215956,103.0
27.98,99.48016848016943,107.0
28.02,98.24345384345474,84.0
28.06,96.56988416988507,95.0
28.1,95.2235872235881,110.0
28.14,93.78932958933046,93.0
28.18,92.36904176904262,88.0
28.22,91.11323271323357,91.0
28.26,89.62920322920404,86.0
28.3,90.09645489645571,104.0
28.34,89.26584766584847,103.0
28.38,88.66830466830548,76.0
28.42,88.58048438048516,83.0
28.46,88.12657072657152,104.0
28.5,88.422183222184,83.0
28.54,87.70438750438828,90.0
28.58,86.77437697437776,79.0
28.62,85.69111969112049,81.0
28.66,85.54966654966734,61.0
28.7,84.85552825552901,87.0
28.74,83.54812214812293,89.0
28.78,82.72811512811589,79.0
28.82,83.10782730782803,85.0
28.86,82.23243243243317,91.0
28.9,81.79733239733315,86.0
28.94,81.56602316602391,109.0
28.98,80.78708318708392,78.0
