two_theta,intensity,raw_intensity
10.02,327.00479577321664,326.0
10.06,321.42056094130385,341.0
10.1,316.41119767187865,302.0
10.14,311.94253708595807,312.0
10.18,307.98041030455886,309.0
10.22,304.4906484486979,280.0
10.26,301.4390826393922,326.0
10.3,298.79154399765855,292.0
10.34,296.51386364451383,306.0
10.38,294.5718727009749,273.0
10.42,292.9314022880587,294.0
10.46,291.558283526782,272.0
10.5,290.4183475381618,334.0
10.54,289.47742544321494,274.0
10.58,288.7013483629583,284.0
10.62,288.0559474184088,310.0
10.66,287.50705373058315,267.0
10.7,287.020498420501,268.0
10.74,285.58476658476917,316.0
10.78,286.07349947350195,288.0
10.82,284.711056511059,295.0
10.86,283.0592488592514,277.0
10.9,282.488241488244,293.0
10.94,279.92832572832816,285.0
10.98,279.6592488592513,296.0
11.02,277.2066690066714,277.0
11.06,276.4516672516696,264.0
11.1,275.2885924885949,230.0
11.14,273.5934713934738,290.0
11.18,271.32228852229093,293.0
11.22,271.7182871182895,275.0
11.26,270.4374868374893,264.0
11.3,269.44127764127995,262.0
11.34,269.5613197613221,271.0
11.38,267.30389610389847,250.0
11.42,265.90410670410915,275.0
11.46,265.1203229203253,252.0
11.5,264.1665145665169,258.0
11.54,264.26542646542885,277.0
11.58,261.9285363285387,252.0
11.62,260.5404703404725,267.0
11.66,259.61031941032167,262.0
11.7,259.8370656370679,286.0
11.74,259.3447525447548,266.0
11.78,257.15928395928626,239.0
11.82,253.36665496665728,268.0
11.86,252.3863109863132,258.0
11.9,251.86907686907912,262.0
11.94,250.8040014040035,244.0
11.98,249.3777465777487,241.0
12.02,248.23889083889298,240.0
12.06,247.73260793261005,251.0
12.1,246.12994032994246,223.0
12.14,245.68648648648866,256.0
12.18,243.45714285714504,237.0
12.22,242.3338013338035,217.0
12.26,241.40126360126573,255.0
12.3,239.44015444015656,254.0
12.34,239.27729027729242,240.0
12.38,237.03011583011795,226.0
12.42,236.090136890139,223.0
12.46,234.79220779220987,248.0
12.5,232.8801684801705,247.0
12.54,232.962091962094,240.0
12.58,232.72860652860857,239.0
12.62,232.40926640926844,239.0
12.66,230.9612495612516,238.0
12.7,228.4712530712551,228.0
12.74,226.62506142506345,220.0
12.78,224.96876096876298,220.0
12.82,222.64176904177097,214.0
12.86,221.8939276939296,231.0
12.9,220.53015093015281,207.0
12.94,218.23306423306613,220.0
12.98,218.25012285012477,219.0
13.02,218.24970164970358,187.0
13.06,217.60266760266953,229.0
13.1,216.71807651807842,231.0
