two_theta,intensity,raw_intensity
10.02,198.59999999999997,198.0
10.06,210.59999999999997,213.0
10.1,204.6000000000001,201.0
10.14,208.6000000000001,205.0
10.18,224.457142857143,226.0
10.22,211.6857142857144,223.0
10.26,189.45714285714297,173.0
10.3,173.25714285714298,185.0
10.34,186.02857142857152,176.0
10.38,192.2857142857144,200.0
10.42,195.7142857142858,194.0
10.46,184.22857142857154,185.0
10.5,181.8857142857144,180.0
10.54,200.91428571428585,195.0
10.58,208.31428571428583,224.0
10.62,207.34285714285727,192.0
10.66,197.22857142857154,207.0
10.7,205.45714285714297,198.0
10.74,199.60000000000014,208.0
10.78,202.60000000000014,193.0
10.82,200.22857142857154,207.0
10.86,190.45714285714297,192.0
10.9,175.1714285714287,169.0
10.94,175.37142857142868,177.0
10.98,180.6000000000001,183.0
11.02,172.14285714285725,173.0
11.06,167.25714285714298,161.0
11.1,162.17142857142866,171.0
11.14,160.77142857142866,154.0
11.18,161.34285714285724,164.0
11.22,181.2285714285715,176.0
11.26,185.2000000000001,196.0
11.3,177.14285714285725,169.0
11.34,164.54285714285726,166.0
11.38,157.08571428571437,163.0
11.42,170.05714285714296,153.0
11.46,175.71428571428584,198.0
11.5,174.54285714285726,161.0
11.54,163.1142857142858,165.0
11.58,173.37142857142868,175.0
11.62,181.0857142857144,178.0
11.66,170.57142857142867,180.0
11.7,164.62857142857152,151.0
11.74,160.54285714285723,171.0
11.78,165.1142857142858,161.0
11.82,166.57142857142867,164.0
11.86,168.82857142857154,175.0
11.9,161.91428571428582,159.0
11.94,155.4000000000001,153.0
11.98,155.1142857142858,160.0
12.02,162.54285714285723,155.0
12.06,158.08571428571437,170.0
12.1,164.60000000000008,149.0
12.14,157.68571428571437,175.0
12.18,165.2000000000001,149.0
12.22,162.85714285714295,174.0
12.26,168.1142857142858,164.0
12.3,166.00000000000009,163.0
12.34,156.37142857142865,167.0
12.38,150.37142857142865,137.0
12.42,152.4285714285715,158.0
12.46,151.62857142857152,159.0
12.5,149.5142857142858,134.0
12.54,149.80000000000007,163.0
12.58,146.2000000000001,145.0
12.62,144.05714285714294,133.0
12.66,153.65714285714296,166.0
12.7,160.00000000000009,154.0
12.74,146.2857142857144,151.0
12.78,149.82857142857154,141.0
12.82,154.25714285714295,163.0
12.86,156.17142857142866,153.0
12.9,150.54285714285723,149.0
12.94,150.62857142857152,152.0
12.98,140.7142857142858,145.0
13.02,136.68571428571437,127.0
13.06,140.9142857142858,147.0
13.1,133.54285714285723,141.0
13.14,138.28571428571436,116.0
13.18,139.68571428571437,166.0
13.22,143.00000000000009,125.0
13.26,124.65714285714293,134.0
13.3,130.9428571428572,124.0
13.34,127.11428571428578,135.0
13.38,135.68571428571437,126.0
13.42,139.5142857142858,148.0
13.46,143.62857142857152,139.0
13.5,131.37142857142862,136.0
13.54,129.20000000000007,122.0
13.58,125.51428571428579,134.0
13.62,134.77142857142866,125.0
13.66,139.80000000000007,147.0
13.7,137.2285714285715,138.0
13.74,124.80000000000008,120.0
13.78,121.77142857142864,124.0
13.82,124.40000000000008,125.0
13.86,126.9142857142858,124.0
13.9,122.48571428571435,129.0
13.94,121.71428571428578,114.0
13.98,126.85714285714293,129.0
14.02,127.14285714285722,134.0
14.06,125.57142857142864,114.0
14.1,122.9428571428572,134.0
14.14,133.94285714285724,124.0
14.18,136.48571428571438,143.0
14.22,132.28571428571433,134.0
14.26,123.20000000000007,116.0
14.3,122.25714285714294,128.0
14.34,128.85714285714295,125.0
14.38,124.37142857142865,129.0
14.42,120.25714285714292,117.0
14.46,120.00000000000007,120.0
14.5,131.77142857142866,131.0
14.54,142.05714285714294,143.0
14.58,135.20000000000007,140.0
14.62,123.25714285714294,117.0
14.66,127.57142857142864,125.0
14.7,130.94285714285724,142.0
14.74,126.20000000000007,116.0
14.78,119.37142857142864,124.0
14.82,127.08571428571436,124.0
14.86,122.4285714285715,128.0
14.9,117.65714285714293,112.0
14.94,114.00000000000006,117.0
14.98,119.97142857142865,118.0
15.02,123.6285714285715,125.0
15.06,125.17142857142865,125.0
15.1,120.40000000000006,121.0
15.14,115.45714285714293,114.0
15.18,109.3428571428572,112.0
15.22,109.60000000000005,106.0
15.26,118.60000000000007,118.0
15.3,122.34285714285721,128.0
15.34,110.80000000000005,109.0
15.38,105.40000000000006,100.0
15.42,115.05714285714294,119.0
15.46,116.88571428571436,121.0
15.5,116.77142857142864,107.0
15.54,114.85714285714292,126.0
15.58,124.57142857142864,113.0
15.62,121.34285714285721,133.0
15.66,126.97142857142865,116.0
15.7,116.4285714285715,128.0
15.74,120.37142857142865,107.0
15.78,112.88571428571434,126.0
15.82,110.91428571428578,102.0
15.86,100.11428571428577,105.0
15.9,107.3428571428572,101.0
15.94,101.60000000000007,113.0
15.98,102.42857142857149,90.0
16.02,107.2285714285715,114.0
16.06,125.9428571428572,122.0
16.1,124.34285714285721,130.0
16.14,108.34285714285721,108.0
16.18,102.5428571428572,92.0
16.22,96.42857142857149,114.0
16.26,101.25714285714292,83.0
16.3,101.85714285714292,113.0
16.34,104.57142857142863,105.0
16.38,97.02857142857148,90.0
16.42,96.80000000000007,104.0
16.46,107.42857142857149,101.0
16.5,115.31428571428579,119.0
16.54,119.88571428571436,121.0
16.58,116.08571428571436,113.0
16.62,111.51428571428576,114.0
16.66,108.11428571428577,107.0
16.7,104.51428571428579,104.0
16.74,103.57142857142864,104.0
16.78,97.85714285714292,100.0
16.82,92.91428571428577,90.0
16.86,96.22857142857148,97.0
16.9,113.00000000000006,110.0
16.94,120.57142857142864,127.0
16.98,114.00000000000006,111.0
17.02,98.71428571428578,100.0
17.06,103.00000000000006,97.0
17.1,115.11428571428578,120.0
17.14,112.97142857142865,117.0
17.18,100.02857142857148,93.0
17.22,97.4285714285715,100.0
17.26,110.22857142857148,108.0
17.3,113.1428571428572,117.0
17.34,98.42857142857149,101.0
17.38,88.3428571428572,79.0
17.42,94.42857142857149,100.0
17.46,102.37142857142862,104.0
17.5,99.08571428571435,96.0
17.54,100.4285714285715,100.0
17.58,100.48571428571435,104.0
17.62,89.71428571428577,91.0
17.66,99.40000000000006,85.0
17.7,102.97142857142863,125.0
17.74,93.82857142857148,82.0
17.78,91.02857142857148,84.0
17.82,104.71428571428578,121.0
17.86,117.45714285714293,101.0
17.9,105.45714285714291,122.0
17.94,104.48571428571435,90.0
17.98,94.7428571428572,104.0
18.02,99.65714285714292,94.0
18.06,92.85714285714292,98.0
18.1,92.71428571428577,88.0
18.14,92.65714285714292,96.0
18.18,104.1428571428572,99.0
18.22,103.8285714285715,113.0
18.26,104.28571428571433,94.0
18.3,95.91428571428577,105.0
18.34,96.20000000000006,89.0
18.38,87.71428571428578,95.0
18.42,100.17142857142863,88.0
18.46,104.62857142857149,118.0
18.5,96.17142857142863,93.0
18.54,84.5428571428572,77.0
18.58,89.37142857142862,97.0
18.62,94.1428571428572,92.0
18.66,91.28571428571433,90.0
18.7,91.3428571428572,94.0
18.74,97.1428571428572,92.0
18.78,94.34285714285721,103.0
18.82,96.97142857142863,86.0
18.86,88.1428571428572,101.0
18.9,94.48571428571434,80.0
18.94,93.25714285714291,105.0
18.98,93.11428571428576,89.0
19.02,81.57142857142863,82.0
19.06,92.25714285714292,86.0
19.1,95.91428571428577,108.0
19.14,90.82857142857148,82.0
19.18,80.51428571428576,83.0
19.22,81.37142857142862,83.0
19.26,88.74285714285719,83.0
19.3,97.25714285714292,103.0
19.34,95.0571428571429,96.0
19.38,88.34285714285718,82.0
19.42,83.34285714285718,92.0
19.46,96.37142857142862,83.0
19.5,96.62857142857149,113.0
19.54,94.97142857142863,84.0
19.58,86.68571428571434,89.0
19.62,91.02857142857148,93.0
19.66,90.31428571428577,88.0
19.7,87.80000000000005,89.0
19.74,80.82857142857148,84.0
19.78,83.31428571428576,75.0
19.82,94.74285714285719,101.0
19.86,105.20000000000007,104.0
19.9,97.37142857142864,99.0
19.94,90.3428571428572,87.0
19.98,83.54285714285719,88.0
20.02,92.68571428571434,83.0
20.06,91.80000000000004,105.0
20.1,80.00000000000006,74.0
20.14,68.97142857142862,64.0
20.18,69.40000000000003,79.0
20.22,73.0571428571429,65.0
20.26,76.1428571428572,80.0
20.3,91.17142857142862,88.0
20.34,90.62857142857149,98.0
20.38,93.22857142857148,82.0
20.42,84.97142857142862,98.0
20.46,83.80000000000005,73.0
20.5,80.77142857142863,86.0
20.54,92.74285714285719,90.0
