two_theta,intensity,raw_intensity
10.02,343.32857820226246,353.0
10.06,340.2603950257202,335.0
10.1,337.49959904820594,309.0
10.14,335.03020897742266,348.0
10.18,332.8362435210733,336.0
10.22,330.90172138686074,333.0
10.26,329.210661282488,343.0
10.3,327.7470819156578,332.0
10.34,326.4950019940733,312.0
10.38,325.4384402254372,318.0
10.42,324.56141531745254,332.0
10.46,323.8479459778222,354.0
10.5,323.2820509142491,348.0
10.54,322.8477488344362,267.0
10.58,322.52905844608637,309.0
10.62,322.3099984569025,328.0
10.66,322.1745875745876,337.0
10.7,322.1068445068474,320.0
10.74,322.57697437697715,336.0
10.78,321.62295542295817,289.0
10.82,320.7401193401222,336.0
10.86,321.49898209898487,334.0
10.9,321.41172341172626,313.0
10.94,321.5326079326107,308.0
10.98,320.8687258687286,309.0
11.02,319.9910845910873,352.0
11.06,319.067462267465,323.0
11.1,319.1635661635689,309.0
11.14,319.20175500175776,334.0
11.18,321.4125658125685,320.0
11.22,323.0734994735022,317.0
11.26,321.52769392769676,326.0
11.3,319.78631098631365,320.0
11.34,319.45573885574163,319.0
11.38,320.18118638118915,307.0
11.42,319.6883116883145,314.0
11.46,320.84563004563273,335.0
11.5,317.6266760266787,306.0
11.54,316.738715338718,303.0
11.58,315.03846963847246,312.0
11.62,313.9465075465102,304.0
11.66,312.58280098280375,337.0
11.7,311.03959283959546,341.0
11.74,310.2221130221156,326.0
11.78,309.21755001755275,305.0
11.82,307.83369603369874,319.0
11.86,307.2261846261873,293.0
11.9,307.41242541242815,303.0
11.94,306.43250263250525,287.0
11.98,307.4906984907011,321.0
12.02,308.19508599508873,306.0
12.06,307.6546858546885,289.0
12.1,307.7368199368226,297.0
12.14,307.6044928044955,269.0
12.18,306.80028080028353,317.0
12.22,304.9387855387881,309.0
12.26,305.0193050193075,334.0
12.3,305.2186732186757,303.0
12.34,305.7419445419471,300.0
12.38,306.9750789750816,300.0
12.42,308.31618111618377,332.0
12.46,309.7429975430002,318.0
12.5,309.50326430326675,315.0
12.54,310.7417339417365,327.0
12.58,310.17079677079937,299.0
12.62,308.7076869076896,325.0
12.66,308.05707265707525,288.0
12.7,309.0602316602343,287.0
12.74,308.57332397332664,315.0
12.78,307.3165321165347,287.0
12.82,306.8365040365067,294.0
12.86,306.15226395226654,337.0
12.9,305.7172341172368,345.0
12.94,306.2169182169209,299.0
12.98,304.8725166725193,302.0
13.02,303.3035451035477,281.0
13.06,302.84914004914265,295.0
13.1,301.69076869077116,303.0
13.14,304.22042822043096,291.0
13.18,304.81755001755266,310.0
13.22,305.2996138996165,290.0
13.26,306.6428220428246,304.0
13.3,305.5156897156923,337.0
13.34,305.54348894349147,303.0
13.38,304.2798876798902,296.0
13.42,303.3524745524772,318.0
13.46,302.3791505791532,320.0
13.5,301.94903474903725,308.0
13.54,301.2988416988442,273.0
13.58,302.89308529308784,306.0
13.62,306.3394173394198,273.0
13.66,306.88648648648905,346.0
13.7,307.34636714636963,333.0
13.74,308.27904527904786,306.0
13.78,308.1517023517049,322.0
13.82,310.12916812917064,267.0
13.86,312.5844857844884,296.0
13.9,313.55542295542557,296.0
13.94,315.08360828361083,289.0
13.98,316.6679536679563,321.0
14.02,318.687469287472,328.0
14.06,319.84970164970423,328.0
14.1,320.5262197262224,319.0
14.14,321.8709020709048,355.0
14.18,323.90087750088014,321.0
14.22,326.2499824499852,333.0
14.26,324.34980694980965,332.0
14.3,324.7383643383671,309.0
14.34,323.2294840294867,338.0
14.38,324.81790101790364,350.0
14.42,326.25250965251234,319.0
14.46,327.4131274131302,358.0
14.5,329.1250965250993,320.0
14.54,327.3991575991604,289.0
14.58,326.19522639522916,338.0
14.62,324.6110214110242,302.0
14.66,322.8047034047061,306.0
14.7,322.5154791154818,331.0
14.74,321.3748683748711,321.0
14.78,321.5318357318385,322.0
14.82,320.20512460512737,328.0
14.86,322.2545454545483,316.0
14.9,320.87771147771423,292.0
14.94,321.33653913654194,349.0
14.98,320.56138996139265,326.0
15.02,318.53106353106625,331.0
15.06,320.46956826957097,332.0
15.1,321.45068445068716,331.0
15.14,322.87293787294055,310.0
15.18,325.23552123552395,308.0
15.22,326.47960687960966,324.0
15.26,325.8073710073737,331.0
15.3,328.73246753247025,335.0
15.34,329.3952965952993,326.0
15.38,329.60308880309157,316.0
15.42,331.7114777114804,344.0
15.46,332.62520182520456,316.0
15.5,333.9557739557767,342.0
15.54,335.54124254124525,302.0
15.58,337.03636363636645,352.0
15.62,336.87160407160684,326.0
15.66,338.20259740260025,361.0
15.7,340.280800280803,378.0
15.74,342.94615654615944,320.0
15.78,344.3908037908065,363.0
15.82,347.12994032994317,329.0
15.86,347.5984555984584,353.0
15.9,348.7971217971247,351.0
15.94,351.60365040365326,366.0
15.98,353.15879255879537,332.0
16.02,354.7439803439832,348.0
16.06,356.1579501579531,361.0
16.1,357.5898911898941,343.0
16.14,359.93274833275126,364.0
16.18,361.1446823446851,359.0
16.22,364.05580905581195,363.0
16.26,364.07104247104536,355.0
16.3,364.6128466128497,366.0
16.34,366.81804141804446,394.0
16.38,369.32172692173,363.0
16.42,372.1354159354191,355.0
16.46,372.20126360126676,389.0
16.5,374.24169884170186,363.0
16.54,373.2570024570054,397.0
16.58,373.91042471042766,378.0
16.62,375.5293085293115,351.0
16.66,377.7360477360508,385.0
16.7,378.7889083889115,393.0
16.74,379.6536328536358,392.0
16.78,381.3896805896837,380.0
16.82,382.9696735696768,386.0
16.86,385.1144963144994,383.0
16.9,387.78778518778824,364.0
16.94,389.8376974377005,383.0
16.98,391.7187785187816,421.0
17.02,394.8830466830499,355.0
17.06,398.1123903123936,376.0
17.1,400.90515970516293,391.0
17.14,403.1229203229236,399.0
17.18,404.64289224289547,396.0
17.22,406.41586521586845,438.0
17.26,410.0596700596734,432.0
17.3,412.78715338715665,414.0
17.34,414.41186381186714,421.0
17.38,415.45665145665475,416.0
17.42,419.7539487539522,437.0
17.46,421.50663390663715,436.0
17.5,425.0685854685889,424.0
17.54,428.166163566167,433.0
17.58,431.4183222183257,417.0
17.62,432.3360477360511,436.0
17.66,433.4037908037941,433.0
17.7,437.38911898912244,411.0
17.74,439.33822393822726,440.0
17.78,439.5956475956511,422.0
17.82,440.8603018603053,421.0
17.86,442.1526851526886,475.0
17.9,445.4386100386136,451.0
