two_theta,intensity,raw_intensity
10.02,75.37142857142862,75.0
10.06,83.51428571428579,85.0
10.1,78.22857142857147,76.0
10.14,69.31428571428576,70.0
10.18,61.9714285714286,63.0
10.22,65.00000000000004,59.0
10.26,63.80000000000004,74.0
10.3,63.257142857142895,54.0
10.34,58.85714285714289,64.0
10.38,61.77142857142861,61.0
10.42,65.1714285714286,62.0
10.46,71.31428571428575,75.0
10.5,71.08571428571432,71.0
10.54,66.6571428571429,64.0
10.58,63.57142857142861,67.0
10.62,65.85714285714289,62.0
10.66,68.68571428571433,71.0
10.7,71.08571428571432,71.0
10.74,63.94285714285718,66.0
10.78,65.94285714285718,59.0
10.82,69.11428571428576,77.0
10.86,68.6571428571429,66.0
10.9,66.91428571428575,64.0
10.94,76.11428571428576,78.0
10.98,78.68571428571434,81.0
11.02,70.31428571428576,68.0
11.06,58.428571428571466,61.0
11.1,61.771428571428615,55.0
11.14,68.22857142857146,75.0
11.18,66.22857142857147,67.0
11.22,65.00000000000004,56.0
11.26,64.00000000000003,76.0
11.3,64.40000000000003,56.0
11.34,64.6571428571429,65.0
11.38,68.42857142857147,74.0
11.42,61.60000000000004,58.0
11.46,59.48571428571432,57.0
11.5,64.37142857142861,69.0
11.54,65.91428571428575,63.0
11.58,59.34285714285718,62.0
11.62,57.314285714285745,55.0
11.66,64.6571428571429,62.0
11.7,68.20000000000005,76.0
11.74,65.00000000000003,59.0
11.78,64.34285714285718,64.0
11.82,71.1714285714286,74.0
11.86,67.57142857142861,68.0
11.9,60.14285714285718,58.0
11.94,61.428571428571466,61.0
11.98,68.05714285714289,69.0
12.02,66.77142857142861,69.0
12.06,62.257142857142895,59.0
12.1,62.914285714285754,63.0
12.14,62.62857142857146,67.0
12.18,65.71428571428575,58.0
12.22,65.77142857142861,74.0
12.26,70.54285714285717,63.0
12.3,59.40000000000004,69.0
12.34,59.14285714285718,48.0
12.38,61.400000000000034,68.0
12.42,65.45714285714288,67.0
12.46,67.97142857142862,60.0
12.5,71.68571428571433,80.0
12.54,68.88571428571433,67.0
12.58,62.20000000000004,58.0
12.62,62.428571428571466,68.0
12.66,68.0571428571429,63.0
12.7,71.08571428571433,74.0
12.74,71.11428571428576,73.0
12.78,73.71428571428575,66.0
12.82,69.68571428571433,81.0
12.86,65.2571428571429,56.0
12.9,55.85714285714289,61.0
12.94,62.37142857142861,58.0
12.98,64.80000000000004,69.0
13.02,66.88571428571433,65.0
13.06,66.2571428571429,66.0
13.1,70.51428571428576,70.0
13.14,69.00000000000004,72.0
13.18,63.400000000000034,61.0
13.22,62.88571428571432,61.0
13.26,62.77142857142861,68.0
13.3,60.62857142857146,56.0
13.34,58.37142857142861,60.0
13.38,59.885714285714315,61.0
13.42,62.42857142857146,59.0
13.46,61.08571428571432,67.0
13.5,65.4571428571429,58.0
13.54,68.00000000000004,74.0
13.58,72.6571428571429,70.0
13.62,70.14285714285718,71.0
13.66,73.74285714285718,71.0
13.7,66.4571428571429,74.0
13.74,61.77142857142861,52.0
13.78,57.37142857142861,65.0
13.82,64.31428571428575,59.0
13.86,66.68571428571433,69.0
13.9,64.40000000000003,68.0
13.94,65.2571428571429,56.0
13.98,64.28571428571432,75.0
14.02,66.54285714285717,59.0
14.06,64.51428571428575,67.0
14.1,69.57142857142861,70.0
14.14,67.91428571428575,68.0
14.18,68.31428571428576,66.0
14.22,64.94285714285718,70.0
14.26,65.42857142857147,59.0
14.3,67.05714285714289,71.0
14.34,68.6571428571429,69.0
14.38,61.0571428571429,62.0
14.42,72.85714285714289,63.0
14.46,80.0571428571429,96.0
14.5,82.60000000000005,70.0
14.54,73.22857142857147,80.0
14.58,77.2571428571429,74.0
14.62,79.60000000000005,79.0
14.66,80.14285714285718,84.0
14.7,73.6571428571429,71.0
14.74,67.7714285714286,67.0
14.78,63.20000000000004,68.0
14.82,72.22857142857147,61.0
14.86,75.02857142857147,89.0
14.9,71.20000000000005,64.0
14.94,63.22857142857146,61.0
14.98,64.91428571428574,71.0
15.02,63.11428571428575,59.0
15.06,60.22857142857146,61.0
15.1,65.00000000000003,65.0
15.14,65.85714285714289,68.0
15.18,72.74285714285719,67.0
15.22,76.71428571428575,84.0
15.26,78.97142857142862,74.0
15.3,75.71428571428575,77.0
15.34,72.34285714285718,75.0
15.38,69.97142857142862,65.0
15.42,72.00000000000003,75.0
15.46,73.88571428571433,75.0
15.5,73.94285714285719,70.0
15.54,73.45714285714291,78.0
15.58,74.68571428571433,71.0
15.62,71.42857142857147,74.0
15.66,69.2571428571429,69.0
15.7,70.74285714285719,68.0
15.74,77.77142857142861,80.0
15.78,81.22857142857148,82.0
15.82,78.80000000000004,77.0
15.86,75.02857142857147,77.0
15.9,75.0571428571429,73.0
15.94,79.51428571428576,79.0
15.98,80.54285714285719,85.0
16.02,81.94285714285718,75.0
16.06,77.28571428571433,85.0
16.1,75.74285714285719,70.0
16.14,73.11428571428576,75.0
16.18,78.00000000000004,78.0
16.22,78.48571428571432,79.0
16.26,78.2571428571429,78.0
16.3,83.0571428571429,81.0
16.34,89.88571428571433,91.0
16.38,80.6571428571429,87.0
16.42,72.31428571428576,61.0
16.46,71.80000000000004,79.0
16.5,74.31428571428576,75.0
16.54,72.40000000000003,67.0
16.58,75.34285714285718,81.0
16.62,85.57142857142861,80.0
16.66,87.25714285714291,93.0
16.7,87.77142857142863,84.0
16.74,81.94285714285719,84.0
16.78,83.00000000000006,80.0
16.82,77.17142857142862,83.0
16.86,75.42857142857147,69.0
16.9,78.40000000000005,82.0
16.94,96.22857142857148,91.0
16.98,95.60000000000005,107.0
17.02,91.82857142857148,80.0
17.06,88.62857142857148,93.0
17.1,86.88571428571433,91.0
17.14,76.42857142857147,70.0
17.18,68.68571428571434,74.0
17.22,78.8571428571429,72.0
17.26,88.57142857142861,95.0
17.3,96.91428571428577,94.0
17.34,92.85714285714292,95.0
17.38,93.9428571428572,90.0
17.42,91.88571428571434,96.0
17.46,83.0571428571429,84.0
17.5,80.20000000000005,73.0
17.54,84.8571428571429,93.0
17.58,96.94285714285719,90.0
17.62,99.08571428571433,105.0
17.66,101.34285714285721,98.0
17.7,97.57142857142863,98.0
17.74,92.08571428571435,95.0
17.78,88.97142857142862,84.0
17.82,91.08571428571435,94.0
17.86,94.80000000000005,96.0
17.9,100.1428571428572,95.0
17.94,103.40000000000006,110.0
17.98,104.62857142857149,100.0
18.02,97.65714285714292,101.0
18.06,97.7428571428572,95.0
18.1,102.82857142857148,103.0
18.14,115.28571428571435,114.0
18.18,111.62857142857149,119.0
18.22,101.11428571428577,94.0
18.26,102.28571428571435,101.0
18.3,113.34285714285721,119.0
18.34,115.68571428571434,112.0
18.38,108.11428571428578,110.0
18.42,98.28571428571435,100.0
18.46,97.00000000000007,91.0
18.5,109.25714285714292,112.0
18.54,120.37142857142864,122.0
18.58,109.17142857142863,112.0
18.62,99.97142857142862,92.0
18.66,98.0571428571429,105.0
18.7,105.62857142857149,101.0
18.74,107.57142857142864,111.0
18.78,114.14285714285722,112.0
18.82,121.00000000000009,121.0
18.86,127.68571428571437,130.0
18.9,136.8285714285715,131.0
18.94,133.2285714285715,143.0
18.98,124.71428571428578,117.0
19.02,116.11428571428578,118.0
19.06,121.00000000000009,121.0
19.1,121.7142857142858,123.0
19.14,123.14285714285721,121.0
19.18,125.80000000000007,127.0
19.22,125.51428571428579,128.0
19.26,134.85714285714295,125.0
19.3,131.11428571428578,148.0
19.34,128.71428571428578,112.0
19.38,115.71428571428578,129.0
19.42,128.85714285714295,116.0
19.46,136.08571428571437,145.0
19.5,137.74285714285722,138.0
19.54,123.31428571428579,121.0
19.58,126.68571428571437,123.0
19.62,143.25714285714295,146.0
19.66,142.2285714285715,149.0
19.7,133.71428571428578,123.0
19.74,132.5142857142858,138.0
19.78,139.17142857142863,139.0
19.82,134.2285714285715,135.0
19.86,138.8285714285715,133.0
19.9,140.25714285714292,149.0
19.94,135.37142857142865,131.0
19.98,128.65714285714296,129.0
20.02,148.4285714285715,142.0
20.06,161.00000000000009,173.0
20.1,155.48571428571438,150.0
20.14,144.08571428571437,141.0
20.18,144.4285714285715,150.0
20.22,151.08571428571437,145.0
20.26,153.77142857142866,159.0
20.3,157.08571428571437,154.0
20.34,147.68571428571437,153.0
20.38,155.17142857142866,143.0
20.42,160.57142857142867,173.0
20.46,150.94285714285724,150.0
20.5,132.00000000000009,126.0
20.54,145.08571428571437,142.0
20.58,154.60000000000008,169.0
20.62,156.82857142857154,142.0
20.66,155.34285714285724,164.0
20.7,172.02857142857152,165.0
20.74,165.45714285714294,176.0
20.78,153.88571428571439,146.0
20.82,147.17142857142866,147.0
20.86,155.82857142857154,159.0
20.9,162.91428571428582,160.0
20.94,160.45714285714297,165.0
20.98,160.4000000000001,155.0
21.02,161.08571428571437,164.0
21.06,163.25714285714292,163.0
21.1,155.88571428571436,157.0
21.14,148.08571428571437,148.0
21.18,157.85714285714295,151.0
21.22,169.88571428571439,180.0
21.26,174.2285714285715,169.0
21.3,171.2857142857144,170.0
21.34,167.14285714285725,174.0
21.38,166.68571428571437,157.0
21.42,169.08571428571437,175.0
21.46,169.54285714285723,171.0
21.5,160.0000000000001,157.0
21.54,166.8000000000001,162.0
21.58,167.05714285714294,180.0
21.62,160.57142857142867,149.0
21.66,152.08571428571437,158.0
21.7,168.37142857142868,161.0
21.74,167.1142857142858,181.0
21.78,170.5142857142858,155.0
21.82,173.85714285714297,182.0
21.86,177.25714285714298,180.0
21.9,171.00000000000009,162.0
21.94,161.77142857142866,173.0
21.98,162.42857142857153,153.0
22.02,172.48571428571438,173.0
22.06,189.71428571428584,194.0
22.1,180.77142857142866,183.0
22.14,161.8000000000001,157.0
22.18,160.2857142857144,159.0
22.22,173.5142857142858,176.0
22.26,178.2000000000001,180.0
22.3,173.2000000000001,172.0
22.34,180.0000000000001,174.0
22.38,182.85714285714295,194.0
22.42,177.2000000000001,170.0
22.46,170.0857142857144,170.0
22.5,177.05714285714296,178.0
22.54,171.6000000000001,177.0
22.58,170.85714285714297,161.0
22.62,183.05714285714296,187.0
22.66,192.88571428571439,197.0
22.7,181.14285714285725,179.0
22.74,174.14285714285725,169.0
22.78,166.68571428571437,178.0
22.82,171.14285714285725,157.0
22.86,181.54285714285726,189.0
22.9,188.05714285714296,192.0
22.94,177.85714285714295,171.0
22.98,176.57142857142867,177.0
23.02,172.68571428571437,181.0
23.06,173.31428571428583,159.0
23.1,169.4285714285715,184.0
23.14,171.42857142857153,162.0
23.18,166.0000000000001,169.0
23.22,170.05714285714294,171.0
23.26,173.80000000000013,169.0
23.3,162.2285714285715,175.0
23.34,164.2857142857144,145.0
23.38,169.34285714285724,184.0
23.42,172.94285714285724,172.0
23.46,170.02857142857152,160.0
23.5,177.97142857142867,188.0
23.54,182.51428571428582,179.0
23.58,172.91428571428582,173.0
23.62,169.6000000000001,169.0
23.66,165.37142857142868,167.0
23.7,160.42857142857153,160.0
23.74,162.2285714285715,160.0
23.78,173.91428571428582,174.0
23.82,178.54285714285723,183.0
23.86,173.62857142857155,169.0
23.9,159.65714285714296,166.0
23.94,165.48571428571438,154.0
23.98,180.05714285714296,187.0
24.02,177.8000000000001,185.0
24.06,162.1142857142858,149.0
24.1,153.97142857142867,164.0
24.14,173.3142857142858,162.0
24.18,178.1142857142858,192.0
24.22,180.85714285714295,171.0
24.26,174.91428571428582,178.0
24.3,176.05714285714296,177.0
24.34,167.65714285714296,168.0
24.38,167.14285714285722,162.0
24.42,165.51428571428582,174.0
24.46,165.25714285714298,159.0
24.5,173.65714285714296,171.0
24.54,182.42857142857153,191.0
24.58,172.85714285714295,169.0
24.62,155.25714285714295,155.0
24.66,157.0857142857144,154.0
24.7,164.82857142857154,168.0
24.74,158.54285714285723,163.0
24.78,152.37142857142868,142.0
24.82,151.68571428571437,160.0
24.86,152.54285714285723,151.0
24.9,148.65714285714296,146.0
24.94,156.8000000000001,158.0
24.98,170.1142857142858,169.0
25.02,170.02857142857152,175.0
25.06,165.25714285714295,159.0
25.1,157.2000000000001,162.0
25.14,155.08571428571437,152.0
25.18,152.82857142857154,153.0
25.22,149.91428571428582,153.0
25.26,144.3142857142858,142.0
25.3,151.65714285714296,146.0
25.34,149.85714285714295,164.0
25.38,142.37142857142868,129.0
25.42,131.28571428571436,139.0
25.46,140.71428571428578,136.0
25.5,152.60000000000008,152.0
25.54,154.91428571428582,164.0
25.58,153.3142857142858,142.0
25.62,157.97142857142865,162.0
25.66,164.05714285714294,168.0
25.7,154.94285714285724,151.0
25.74,148.77142857142866,148.0
25.78,143.4000000000001,150.0
25.82,153.82857142857154,139.0
25.86,154.7142857142858,174.0
25.9,158.05714285714294,141.0
25.94,132.05714285714294,151.0
25.98,141.80000000000007,116.0
26.02,146.28571428571436,169.0
26.06,153.65714285714293,142.0
26.1,120.85714285714295,132.0
26.14,116.88571428571436,100.0
26.18,124.7428571428572,137.0
26.22,139.3142857142858,137.0
26.26,141.54285714285723,137.0
26.3,137.65714285714293,147.0
26.34,134.6285714285715,124.0
26.38,125.17142857142865,134.0
26.42,123.97142857142865,119.0
26.46,123.57142857142864,124.0
26.5,138.40000000000006,136.0
26.54,138.3428571428572,147.0
26.58,128.6285714285715,121.0
26.62,121.37142857142864,123.0
26.66,129.17142857142863,129.0
26.7,134.68571428571437,134.0
26.74,123.97142857142863,131.0
26.78,117.4285714285715,105.0
26.82,111.9428571428572,123.0
26.86,112.40000000000008,107.0
26.9,108.17142857142865,108.0
26.94,111.08571428571435,114.0
26.98,115.11428571428578,111.0
27.02,114.54285714285722,119.0
27.06,112.91428571428577,110.0
27.1,104.8285714285715,108.0
27.14,109.85714285714292,103.0
27.18,113.00000000000006,122.0
27.22,120.57142857142864,112.0
27.26,118.48571428571435,125.0
27.3,114.97142857142863,113.0
27.34,104.60000000000007,104.0
27.38,103.4285714285715,103.0
27.42,108.00000000000006,108.0
27.46,109.4285714285715,112.0
27.5,111.68571428571437,108.0
27.54,120.0285714285715,119.0
27.58,116.4285714285715,125.0
27.62,100.3428571428572,94.0
27.66,98.20000000000006,94.0
27.7,111.97142857142863,119.0
27.74,116.65714285714293,114.0
27.78,104.28571428571435,106.0
27.82,91.85714285714292,91.0
27.86,86.80000000000005,85.0
27.9,93.1428571428572,94.0
27.94,104.45714285714291,103.0
27.98,99.88571428571434,107.0
28.02,91.80000000000005,84.0
28.06,95.51428571428578,95.0
28.1,103.1428571428572,110.0
28.14,97.11428571428576,93.0
28.18,89.02857142857148,88.0
28.22,86.97142857142862,91.0
28.26,92.25714285714291,86.0
28.3,101.00000000000006,104.0
28.34,97.25714285714291,103.0
28.38,82.8571428571429,76.0
28.42,86.08571428571435,83.0
28.46,93.20000000000005,104.0
28.5,92.9428571428572,83.0
28.54,83.40000000000006,90.0
28.58,84.6571428571429,79.0
28.62,72.1714285714286,81.0
28.66,72.82857142857148,61.0
28.7,79.97142857142862,87.0
28.74,87.62857142857148,89.0
28.78,82.77142857142861,79.0
28.82,84.57142857142861,85.0
28.86,86.71428571428577,91.0
28.9,96.37142857142864,86.0
28.94,94.68571428571434,109.0
28.98,88.80000000000004,78.0
29.02,71.6571428571429,78.0
29.06,73.0571428571429,68.0
29.1,81.2571428571429,81.0
29.14,83.28571428571433,91.0
29.18,77.74285714285719,69.0
29.22,70.1714285714286,76.0
29.26,76.57142857142861,71.0
29.3,72.94285714285718,81.0
29.34,77.8571428571429,68.0
29.38,80.20000000000005,88.0
29.42,86.11428571428576,82.0
29.46,77.54285714285719,82.0
29.5,79.88571428571433,72.0
29.54,79.68571428571434,88.0
29.58,77.60000000000005,74.0
29.62,73.40000000000003,71.0
29.66,71.48571428571432,78.0
29.7,74.91428571428577,66.0
29.74,73.08571428571432,82.0
29.78,76.71428571428575,69.0
29.82,64.91428571428575,74.0
29.86,64.71428571428575,54.0
29.9,65.05714285714289,72.0
29.94,64.88571428571433,66.0
29.98,60.657142857142894,55.0
30.02,69.71428571428575,71.0
30.06,72.88571428571433,80.0
30.1,73.97142857142862,63.0
30.14,77.0571428571429,84.0
30.18,78.14285714285718,79.0
30.22,69.37142857142862,65.0
30.26,66.68571428571433,69.0
30.3,66.31428571428575,67.0
30.34,63.37142857142861,62.0
30.38,65.00000000000004,65.0
30.42,71.42857142857147,71.0
30.46,71.05714285714289,75.0
30.5,75.74285714285719,67.0
30.54,70.31428571428576,83.0
30.58,69.42857142857147,57.0
30.62,61.48571428571432,71.0
30.66,70.14285714285718,62.0
30.7,71.40000000000003,78.0
30.74,74.48571428571432,72.0
30.78,77.42857142857147,74.0
30.82,77.28571428571433,85.0
30.86,72.08571428571433,66.0
30.9,65.8571428571429,68.0
30.94,73.74285714285719,71.0
30.98,75.71428571428575,80.0
31.02,68.2571428571429,68.0
31.06,64.42857142857147,58.0
31.1,59.11428571428576,70.0
31.14,60.14285714285718,49.0
31.18,61.42857142857146,67.0
31.22,63.77142857142861,66.0
31.26,55.914285714285754,53.0
31.3,67.68571428571433,61.0
31.34,74.94285714285718,89.0
31.38,66.57142857142861,58.0
31.42,52.657142857142894,53.0
31.46,59.60000000000004,59.0
31.5,61.31428571428575,65.0
31.54,53.85714285714289,53.0
31.58,53.314285714285745,48.0
