two_theta,intensity,raw_intensity
10.015,0.0,0.0
10.045,0.0,0.0
10.075,0.0,0.0
10.105,11.75699481396073,1.0
10.135,28.262895350821005,0.0
10.165,43.50769110954864,1.0
10.195,57.53520750858207,0.0
10.225,70.38926996635968,0.0
10.255,82.11370390131995,0.0
10.285,92.75233473190124,171.0
10.315,102.34898787654203,166.0
10.345,110.94748875368069,151.0
10.375,118.59166278175564,154.0
10.405,125.32533537920537,152.0
10.435,131.19233196446822,142.0
10.465,136.23647795598268,142.0
10.495,140.5015987721871,165.0
10.525,144.03151983152065,149.0
10.555,148.49154089154177,135.0
10.585,151.4489294489304,141.0
10.615,154.455458055459,132.0
10.645,156.19206739206848,132.0
10.675,157.04303264303374,140.0
10.705,155.49996489996602,143.0
10.735,152.9778869778882,171.0
10.765,147.95050895051014,145.0
10.795,142.6797472797485,132.0
10.825,143.18841698841825,148.0
10.855,143.69484029484158,146.0
10.885,143.84029484029614,147.0
10.915,143.12292032292154,142.0
10.945,143.7540891540904,136.0
10.975,143.01635661635783,123.0
11.005,142.67651807651933,150.0
11.035,143.2617760617773,150.0
11.065,142.69659529659648,149.0
11.095,141.8849420849433,164.0
11.125,142.18315198315324,139.0
11.155,141.46198666198794,140.0
11.185,140.41909441909567,126.0
11.215,138.4664092664105,148.0
11.245,136.86591786591904,134.0
11.275,138.46416286416405,155.0
11.305,138.25770445770567,119.0
11.335,135.99073359073478,134.0
11.365,136.6204984204996,133.0
11.395,136.51077571077687,127.0
11.425,135.71814671814795,152.0
11.455,135.8817830817843,120.0
11.485,133.85482625482743,140.0
11.515,132.78890838890953,129.0
11.545,130.88936468936586,131.0
11.575,130.655387855389,146.0
11.605,130.5864513864525,139.0
11.635,131.73780273780392,115.0
11.665,131.85040365040481,123.0
11.695,132.20414180414295,124.0
11.725,129.61495261495378,152.0
11.755,128.93597753597868,151.0
11.785,129.036784836786,107.0
11.815,129.34040014040121,122.0
11.845,128.34594594594708,158.0
11.875,127.66626886626992,106.0
11.905,127.59817479817595,117.0
11.935,126.522779922781,134.0
11.965,126.0253422253433,105.0
11.995,126.20421200421308,149.0
12.025,127.24183924184034,111.0
12.055,126.54608634608742,158.0
12.085,126.3373815373826,126.0
12.115,126.5845559845571,123.0
12.145,127.33660933661042,112.0
12.175,126.56363636363747,111.0
12.205,125.6186030186041,102.0
12.235,125.26044226044336,157.0
12.265,125.36883116883227,142.0
12.295,126.71751491751596,112.0
12.325,125.92495612495715,130.0
12.355,126.00624780624888,126.0
12.385,127.46156546156655,133.0
12.415,126.88894348894459,118.0
12.445,126.38560898561008,135.0
12.475,126.15142155142266,154.0
12.505,125.06023166023282,109.0
12.535,125.75177255177367,103.0
12.565,124.44050544050654,131.0
12.595,124.9382941382952,122.0
12.625,124.96244296244403,129.0
12.655,123.71512811512918,113.0
12.685,122.67371007371116,122.0
12.715,121.50586170586276,132.0
12.745,118.9420147420158,118.0
